Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
"MG-silicon, at plant | Scenario: 2025, pessimistic, BAU","MG-silicon, at plant",kg,4.600802588148402,Success
"MG-silicon, at plant | Scenario: 2025, realistic-optimistic, 440ppm","MG-silicon, at plant",kg,4.546478735064911,Success
"MG-silicon, at plant | Scenario: 2025, very optimistic, 440ppm","MG-silicon, at plant",kg,4.121226251652873,Success
"MG-silicon, at plant | Scenario: 2025, very optimistic, Renew","MG-silicon, at plant",kg,4.114757061235308,Success
"MG-silicon, at plant | Scenario: 2050, pessimistic, 440ppm","MG-silicon, at plant",kg,4.509883439403144,Success
"MG-silicon, at plant | Scenario: 2050, pessimistic, BAU","MG-silicon, at plant",kg,4.598851337530792,Success
"MG-silicon, at plant | Scenario: 2050, realistic-optimistic, 440ppm","MG-silicon, at plant",kg,4.471863417862913,Success
"MG-silicon, at plant | Scenario: 2050, very optimistic, 440ppm","MG-silicon, at plant",kg,3.1291500095698384,Success
"MG-silicon, at plant | Scenario: 2050, very optimistic, Renew","MG-silicon, at plant",kg,3.1371321598127637,Success
"MG-silicon, at plant | Scenario: Today","MG-silicon, at plant",kg,4.6380694968348575,Success
"aluminium, primary, liquid, at plant | Scenario: 2025, pessimistic, 440ppm","aluminium, primary, liquid, at plant",kg,11.823020294750808,Success
"aluminium, primary, liquid, at plant | Scenario: 2025, pessimistic, BAU","aluminium, primary, liquid, at plant",kg,11.958347293597507,Success
"aluminium, primary, liquid, at plant | Scenario: 2025, realistic-optimistic, 440ppm","aluminium, primary, liquid, at plant",kg,11.976757364226422,Success
"aluminium, primary, liquid, at plant | Scenario: 2025, very optimistic, 440ppm","aluminium, primary, liquid, at plant",kg,10.334112277315745,Success
"aluminium, primary, liquid, at plant | Scenario: 2025, very optimistic, Renew","aluminium, primary, liquid, at plant",kg,10.308897233266576,Success
"aluminium, primary, liquid, at plant | Scenario: 2050, pessimistic, 440ppm","aluminium, primary, liquid, at plant",kg,11.641941185178263,Success
"aluminium, primary, liquid, at plant | Scenario: 2050, pessimistic, BAU","aluminium, primary, liquid, at plant",kg,11.948426295593679,Success
"aluminium, primary, liquid, at plant | Scenario: 2050, realistic-optimistic, 440ppm","aluminium, primary, liquid, at plant",kg,10.27368192277086,Success
"aluminium, primary, liquid, at plant | Scenario: 2050, very optimistic, 440ppm","aluminium, primary, liquid, at plant",kg,9.637864823222413,Success
"aluminium, primary, liquid, at plant | Scenario: 2050, very optimistic, Renew","aluminium, primary, liquid, at plant",kg,9.671813213945281,Success
"aluminium, primary, liquid, at plant | Scenario: Today","aluminium, primary, liquid, at plant",kg,12.108853525534856,Success
"clinker, at plant | Scenario: 2025, pessimistic, 440ppm","clinker, at plant",kg,0.9149503048802627,Success
"clinker, at plant | Scenario: 2025, pessimistic, BAU","clinker, at plant",kg,0.9159405132214097,Success
"clinker, at plant | Scenario: 2025, realistic-optimistic, 440ppm","clinker, at plant",kg,0.8703893896515276,Success
"clinker, at plant | Scenario: 2025, very optimistic, 440ppm","clinker, at plant",kg,0.8026363688428089,Success
"clinker, at plant | Scenario: 2025, very optimistic, Renew","clinker, at plant",kg,0.8025001789208941,Success
"clinker, at plant | Scenario: 2050, pessimistic, 440ppm","clinker, at plant",kg,0.913659402345254,Success
"clinker, at plant | Scenario: 2050, pessimistic, BAU","clinker, at plant",kg,0.9158622585050166,Success
"clinker, at plant | Scenario: 2050, realistic-optimistic, 440ppm","clinker, at plant",kg,0.8349554385756038,Success
"clinker, at plant | Scenario: 2050, very optimistic, 440ppm","clinker, at plant",kg,0.7080736572483393,Success
"clinker, at plant | Scenario: 2050, very optimistic, Renew","clinker, at plant",kg,0.7082028829121216,Success
"clinker, at plant | Scenario: Today","clinker, at plant",kg,0.9171067784117005,Success
"construction, hard coal IGCC power plant 450MW | Scenario: Today | U","construction, hard coal IGCC power plant 450MW",Item(s),0.0,Success
"copper, primary, at refinery | Scenario: 2025, pessimistic, 440ppm","copper, primary, at refinery",kg,2.3596424961109177,Success
"copper, primary, at refinery | Scenario: 2025, pessimistic, 440ppm","copper, primary, at refinery",kg,2.3596424961109177,Success
"copper, primary, at refinery | Scenario: 2025, pessimistic, BAU","copper, primary, at refinery",kg,2.600791976916871,Success
"copper, primary, at refinery | Scenario: 2025, pessimistic, BAU","copper, primary, at refinery",kg,2.600791976916871,Success
"copper, primary, at refinery | Scenario: 2025, realistic-optimistic, 440ppm","copper, primary, at refinery",kg,1.8006138484396383,Success
"copper, primary, at refinery | Scenario: 2025, realistic-optimistic, 440ppm","copper, primary, at refinery",kg,1.8006138484396383,Success
"copper, primary, at refinery | Scenario: 2025, very optimistic, 440ppm","copper, primary, at refinery",kg,1.7240306109382615,Success
"copper, primary, at refinery | Scenario: 2025, very optimistic, 440ppm","copper, primary, at refinery",kg,1.7240306109382615,Success
"copper, primary, at refinery | Scenario: 2025, very optimistic, Renew","copper, primary, at refinery",kg,1.6871608942594158,Success
"copper, primary, at refinery | Scenario: 2025, very optimistic, Renew","copper, primary, at refinery",kg,1.6871608942594158,Success
"copper, primary, at refinery | Scenario: 2050, pessimistic, 440ppm","copper, primary, at refinery",kg,1.9732671750091246,Success
"copper, primary, at refinery | Scenario: 2050, pessimistic, 440ppm","copper, primary, at refinery",kg,1.9732671750091246,Success
"copper, primary, at refinery | Scenario: 2050, pessimistic, BAU","copper, primary, at refinery",kg,2.593942786299664,Success
"copper, primary, at refinery | Scenario: 2050, pessimistic, BAU","copper, primary, at refinery",kg,2.593942786299664,Success
