Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
Add 551g Twido Programmable Controller,N/A,N/A,,Name Not Found in DB
Add Ethylene Vinyl Acetate (EVA) Resin,N/A,N/A,,Name Not Found in DB
Mine & Air-Dry Gypsum in South Asutralia and Rail 425km,N/A,N/A,,Name Not Found in DB
Add 0.45m dia K12 Flanged Iron Pipe 172kg/m Length Mortar & Gasket Incl 77%PCR,N/A,N/A,,Name Not Found in DB
Add 150mm K9 Ductile Iron Pipe Cement Lined SBR Gasket Rubber Ring Joint (RRJ) 77%PCR,N/A,N/A,,Name Not Found in DB
Add 16mm uPVC 0.14kg/m Length Conduit Pipe,N/A,N/A,,Name Not Found in DB
Add 21kg Epoxy Coated Steel Doorframe Vermiculite Fil for 36dB Acoustic 7%PCR,N/A,N/A,,Name Not Found in DB
Add 225mm K9 Ductile Iron Pipe Cement Lined SBR Gasket Rubber Ring Joint (RRJ) 77%PCR,N/A,N/A,,Name Not Found in DB
Add 233gsm Hessian Protective Fabric,N/A,N/A,,Name Not Found in DB
Add 300mm K9 Ductile Iron Pipe Cement Lined SBR Gasket Rubber Ring Joint (RRJ) 77%PCR,N/A,N/A,,Name Not Found in DB
"Add 50% Imported Cold Rolled Annealed Galvanised Flat, Angle or Bar 51%PCR",N/A,N/A,,Name Not Found in DB
Add 50mm uPVC 1kg/m Length Conduit Pipe,N/A,N/A,,Name Not Found in DB
Add 6.4mm Laminated Tint Flat Glass,N/A,N/A,,Name Not Found in DB
Add 6mm Wired Georgian Polished Flat Glass,N/A,N/A,,Name Not Found in DB
Add Acrylonitrile Butadiene Styrene (ABS),N/A,N/A,,Name Not Found in DB
Add Al AA1200 Cold Rolled Annealed Aluminium Profile,N/A,N/A,,Name Not Found in DB
Add Al3004 Cold Rolled Annealed Whte Polyester Coat Aluminium Sheet 33%PCR,N/A,N/A,,Name Not Found in DB
Add Aluminium lined & clad Polystyrene (XPS) R5 Insulated SIP 8kg/m2 100mm Exterior Wall,N/A,N/A,,Name Not Found in DB
Add Antipiller Ethyl Cellulose for Textile Bath,N/A,N/A,,Name Not Found in DB
Add Architrave DAR Bio KJiln Dried Timber KDT Hardwood,N/A,N/A,,Name Not Found in DB
Add Bostik Vinyl Plumbweld Blue,N/A,N/A,,Name Not Found in DB
Add Ceiling Tile of Vermiculite Perlite,N/A,N/A,,Name Not Found in DB
Add Cerium Lanthanum Yttrium Phosphor,N/A,N/A,,Name Not Found in DB
Add Citrus Essntial Oil and White Oil Organic Pesticide Concentrate,N/A,N/A,,Name Not Found in DB
Add Cold Roll Annealed Z350 Galvanised 0.6BMT Steel Bondek Profile 4%PCR,N/A,N/A,,Name Not Found in DB
Add Coloured HotMix Asphalt 2300kg/m3 Density 6.5%PCR,N/A,N/A,,Name Not Found in DB
Add Dressed All Round DAR Cypress Pine Board of Sawn Gas Kiln Dried Timber KDT,N/A,N/A,,Name Not Found in DB
Add Extruded Ethylene PropyleneDiene (EPDM) Rubber,N/A,N/A,,Name Not Found in DB
Add Galvanised Hot Rolled Section Z250 Steel 4%PCR,N/A,N/A,,Name Not Found in DB
Add Imported  15-20mm Split Chinese Slate Tile,N/A,N/A,,Name Not Found in DB
Add Imported Taiwanese Galvanised Steel 1-5mm Gun Nail Tack 96%PCR,N/A,N/A,,Name Not Found in DB
Add Interior Pastel CI Pigments & Dyes,N/A,N/A,,Name Not Found in DB
"Add Packaging 40g/kg Load Cradel to Fate of Pallet, Label, Strap & Wrap",N/A,N/A,,Name Not Found in DB
Add Packed Polypropylene Film Shrink Wrapping,N/A,N/A,,Name Not Found in DB
Add Rockwool Insulation 75%Post Industrial GGBFS Scrap,N/A,N/A,,Name Not Found in DB
Add Sheen Soap EthoxyHexylStearate for Textile Bath,N/A,N/A,,Name Not Found in DB
Add Steel-Belted Tyre s14%PCR,N/A,N/A,,Name Not Found in DB
Add Textured Acrylic Exterior Coating for Masonry,N/A,N/A,,Name Not Found in DB
Add Typical Bed Acrylic Mortar Grout,N/A,N/A,,Name Not Found in DB
Add Welded Cold Roll Annealed 50% Imported Galvanised 0.48BMT Steel Form 51%PCR,N/A,N/A,,Name Not Found in DB
Add cold rolled Blue Steel Strapping 3.6%PCR,N/A,N/A,,Name Not Found in DB
Burn Coal ex Bowen Basin 33g/MJ Fuel,N/A,N/A,,Name Not Found in DB
Burn Natural Gas,N/A,N/A,,Name Not Found in DB
Burn Propane LPG,N/A,N/A,,Name Not Found in DB
Burn Timber Scrap 18MJ/kg Fuel,N/A,N/A,,Name Not Found in DB
Cast 65MPa Concrete,N/A,N/A,,Name Not Found in DB
Coat 5mm Epoxy 280gsm Floor Finish,N/A,N/A,,Name Not Found in DB
Electrowin Zinc Lead Cadmium or Bismuth from Queensland Process Leachate,N/A,N/A,,Name Not Found in DB
Fire & Sound Resistant Plasterboard 32kg*m2 Interior Wall,N/A,N/A,,Name Not Found in DB
Haul Bitumen 30km and add as Binder,N/A,N/A,,Name Not Found in DB
Haul Tinplate Coated Steel Can 50km 3.6%PCR,N/A,N/A,,Name Not Found in DB
Import US Solution Dyed Nylon SDN6 Yarn & Weave Textile,N/A,N/A,,Name Not Found in DB
Layer Fertilise & Compost Soil 45%PCR Dry Mass,N/A,N/A,,Name Not Found in DB
Oil Heat Crystallise & Dry South Australian Sea Salt,N/A,N/A,,Name Not Found in DB
Part A Red Iron Oxide Primer Intercure 420 (0.9kg/l) Epoxy,N/A,N/A,,Name Not Found in DB
Rail Al AA1200 Cold Rolled Annealed Aluminium Foil,N/A,N/A,,Name Not Found in DB
Reap & Cold Press 12MJ/kg Citrus Rind Essential Oil,N/A,N/A,,Name Not Found in DB
Rotary Cut Bio Kiln Dry Timber KDT Imported Western Red Cedar Veneer,N/A,N/A,,Name Not Found in DB
Shift 3km2/kg Topsoil Rock Overburden,N/A,N/A,,Name Not Found in DB
"Ship Queensland Copper Cathode 19,000km",N/A,N/A,,Name Not Found in DB
Ship Rail & Truck Queensland Refined HighGrade Electro Cadmium Metal 2300km,N/A,N/A,,Name Not Found in DB
Truck PU Powdercoat Al6060 Aluminium Extrusion ex Victoria Lignite Power 20%PCR,N/A,N/A,,Name Not Found in DB
Truck Taiwanese Galvanised Z350 Z & C Sections 96%PCR,N/A,N/A,,Name Not Found in DB
Use 20 years Safety Grip Vinyl Floor Covering,N/A,N/A,,Name Not Found in DB
Use 20 years Upholstery Fabric Polyester 50% Solution Dyed Nylon SDN6/66,N/A,N/A,,Name Not Found in DB
Use 60 years 50Mpa Precast Reo Concrete,N/A,N/A,,Name Not Found in DB
6000-Q GasCogenerate Power Used in Place/MJ S,6000-Q GasCogenerate Power Used in Place/MJ S,MJ,0.16792483896000002,Success
6092-Q Solar Power Used in Place/MJ S,6092-Q Solar Power Used in Place/MJ S,MJ,,No alternative result methods
6142-Q BioFuel Power Used in Place/MJ S,6142-Q BioFuel Power Used in Place/MJ S,MJ,0.0819832009108963,Success
6143-Q Renewable Power Used in Place/MJ S,6143-Q Renewable Power Used in Place/MJ S,MJ,0.0012380005893484808,Success
6179-Q Cogen NatGas Power Used in Place/MJ S,6179-Q Cogen NatGas Power Used in Place/MJ S,MJ,0.16247385476,Success
6180-Q Hydro Power Used in Place/MJ S,6180-Q Hydro Power Used in Place/MJ S,MJ,,No alternative result methods
6266-Q Wind Power Used  in Place*MJ S,6266-Q Wind Power Used  in Place*MJ S,MJ,,No alternative result methods
6331-AU Generate Steam on Site/MJ S,6331-AU Generate Steam on Site/MJ S,MJ,0.24986983856851072,Success
7487-AU Ceiling Rod Galvanised Steel/kg96%R S,7487-AU Ceiling Rod Galvanised Steel/kg96%R S,kg,1.9238330512649437,Success
7498-AU Ceiling Rod Galvanised Steel*96%R S,7498-AU Ceiling Rod Galvanised Steel*96%R S,m,0.54694981226818,Success
8289-AU GridSaw FSC bio KDT Oregon Lumber*kg S,8289-AU GridSaw FSC bio KDT Oregon Lumber*kg S,kg,0.7523660378564554,Success
8350-Q Channel Beam ColumnRSJ Z350*kg96%R S,8350-Q Channel Beam ColumnRSJ Z350*kg96%R S,kg,2.0293792608172203,Success
8351-Q HR Channel Beam Column RSJ Z350*kg R51% S,8351-Q HR Channel Beam Column RSJ Z350*kg R51% S,kg,2.561835932126429,Success
8504-AU Add 20mm Lime Gypsum Hardwall*kg S,8504-AU Add 20mm Lime Gypsum Hardwall*kg S,kg,0.49182592969126754,Success
8520-AU Add 13mm StuccoboardLite*kg1%R S,8520-AU Add 13mm StuccoboardLite*kg1%R S,kg,0.530450130391861,Success
8703-AU Add F7 KDT Structural Oregon Lumber*kg S,8703-AU Add F7 KDT Structural Oregon Lumber*kg S,kg,0.7598897765516333,Success
8705-AU DAR F7KDT Structural Oregon Lumber*kg S,8705-AU DAR F7KDT Structural Oregon Lumber*kg S,kg,0.7674887026577103,Success
9043-AU Use 60yr Cedar Window Frame*kg S,9043-AU Use 60yr Cedar Window Frame*kg S,kg,1.275234752505059,Success
