Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
DL-methionine; chemical synthesis; at processing plant,DL-methionine; chemical synthesis; at processing plant,kg,0.0,Success
L-lysine; fermentation process; at processing plant,L-lysine; fermentation process; at processing plant,kg,0.0,Success
"alfalfa hay production; bailed, stored outside; on farm; dry matter","alfalfa hay; bailed, stored outside; on farm; dry matter",t,0.0,Success
aluminum roofing and siding; at manufacturer,aluminum roofing and siding; at manufacturer,kg,0.0,Success
application of lime fertilizer; at field,emissions; application lime fertilizer; at field,kg,0.44,Success
application of nitrogen fertilizer mix; at field,emissions; application of nitrogen fertilizer mix; at field,kg,6.317133,Success
"apply fertilizer; no broadcast, band sprayer, corn; at farm","apply fertilizer; no broadcast, band sprayer, corn; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, band sprayer, cotton; at farm","apply fertilizer; no broadcast, band sprayer, cotton; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, band sprayer, oats; at farm","apply fertilizer; no broadcast, band sprayer, oats; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, band sprayer, peanuts; at farm","apply fertilizer; no broadcast, band sprayer, peanuts; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, band sprayer, rice; at farm","apply fertilizer; no broadcast, band sprayer, rice; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, band sprayer, soybeans; at farm","apply fertilizer; no broadcast, band sprayer, soybeans; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, band sprayer, spring wheat; at farm","apply fertilizer; no broadcast, band sprayer, spring wheat; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, band sprayer, winter wheat; at farm","apply fertilizer; no broadcast, band sprayer, winter wheat; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, directed sprayer, corn; at farm","apply fertilizer; no broadcast, directed sprayer, corn; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, directed sprayer, cotton; at farm","apply fertilizer; no broadcast, directed sprayer, cotton; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, directed sprayer, oats; at farm","apply fertilizer; no broadcast, directed sprayer, oats; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, directed sprayer, peanuts; at farm","apply fertilizer; no broadcast, directed sprayer, peanuts; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, directed sprayer, rice; at farm","apply fertilizer; no broadcast, directed sprayer, rice; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, directed sprayer, soybeans; at farm","apply fertilizer; no broadcast, directed sprayer, soybeans; at farm",ha,0.0,Success
"apply fertilizer; no broadcast, directed sprayer, spring wheat; at farm","apply fertilizer; no broadcast, directed sprayer, spring wheat; at farm",ha,0.0,Success
