Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
"Acrylonitrile-Butadiene-Styrene granulate (ABS), production mix, at plant",acrylonitrile-butadiene-styrene granulate (ABS),kg,3.9384418650873307,Success
"Aerated concrete block, production mix, at plant, mix of P2 04 and P4 05, average density 433 kg/m3",aerated concrete block,kg,0.44926386442453653,Success
"Aerated concrete block, production mix, at plant, type P4 05 reinforced, average density 485 kg/m3",aerated concrete block,kg,0.5182731970260116,Success
"Aluminium extrusion profile, production mix, at plant, primary production, aluminium semi-finished extrusion product, including primary production, transformation and   recycling",aluminium extrusion profile,kg,2.405827539863469,Success
"Aluminium sheet, production mix, at plant, primary production, aluminium semi-finished sheet product, including primary production, transformation and recycling",aluminium sheet,kg,3.2168290021143666,Success
"Anhydrite (CaSO4), production mix, at plant, technology mix of natural (33%), thermal (33%) and synthetic (33%) produced anhydrite, grinded and purified product",anhydrite (CaSO4),kg,0.10058354328418662,Success
"Articulated lorry transport, Euro 0, 1, 2, 3, 4 mix, 40 t total weight, 27 t max payload",transport in t*km,t*km,0.04997474547096374,Success
"Articulated lorry transport, Euro 0, 1, 2, 3, 4 mix, 40 t total weight, 27 t max payload",transport in t*km,t*km,0.04997474547096374,Success
"Barge, technology mix, 1.228 t pay load capacity",cargo,kg,0.0,Success
"Barge, technology mix, 1.228 t pay load capacity",cargo,kg,0.0,Success
"Bentonite granular, sodium activated, Production at plant, 1000 kg of bentonite sodium activated granular with a particle size ranging from 0.5 to 5 mm and a moisture content ranging between 8 and 13%, stored in silo, ready to be shipped in bulk., none",Na-activated bentonite granular,kg,0.16913674049956157,Success
"Bentonite powder, sodium activated, Production at plant, 1000 kg of bentonite  sodium activated powder with particle sizes below 74 µm and a moisture content ranging between 8 and 12%, stored in silo, ready to be shipped in bulk., None",Na-activated bentonite granular,kg,0.18052167819610937,Success
"Benzene, production mix, at plant, technology mix, from pyrolysis gasoline, reformate and toluene dealkylation, liquid",benzene,kg,1.3906799882609542,Success
"Beverage carton converting, converting mix, at plant, Converting, beverage carton",beverage carton - generic,m2,0.0066507592,Success
