MG-silicon, at plant | Scenario: 2025, pessimistic, BAU
MG-silicon, at plant | Scenario: 2025, realistic-optimistic, 440ppm
MG-silicon, at plant | Scenario: 2025, very optimistic, 440ppm
MG-silicon, at plant | Scenario: 2025, very optimistic, Renew
MG-silicon, at plant | Scenario: 2050, pessimistic, 440ppm
MG-silicon, at plant | Scenario: 2050, pessimistic, BAU
MG-silicon, at plant | Scenario: 2050, realistic-optimistic, 440ppm
MG-silicon, at plant | Scenario: 2050, very optimistic, 440ppm
MG-silicon, at plant | Scenario: 2050, very optimistic, Renew
MG-silicon, at plant | Scenario: Today
aluminium, primary, liquid, at plant | Scenario: 2025, pessimistic, 440ppm
aluminium, primary, liquid, at plant | Scenario: 2025, pessimistic, BAU
aluminium, primary, liquid, at plant | Scenario: 2025, realistic-optimistic, 440ppm
aluminium, primary, liquid, at plant | Scenario: 2025, very optimistic, 440ppm
aluminium, primary, liquid, at plant | Scenario: 2025, very optimistic, Renew
aluminium, primary, liquid, at plant | Scenario: 2050, pessimistic, 440ppm
aluminium, primary, liquid, at plant | Scenario: 2050, pessimistic, BAU
aluminium, primary, liquid, at plant | Scenario: 2050, realistic-optimistic, 440ppm
aluminium, primary, liquid, at plant | Scenario: 2050, very optimistic, 440ppm
aluminium, primary, liquid, at plant | Scenario: 2050, very optimistic, Renew
aluminium, primary, liquid, at plant | Scenario: Today
clinker, at plant | Scenario: 2025, pessimistic, 440ppm
clinker, at plant | Scenario: 2025, pessimistic, BAU
clinker, at plant | Scenario: 2025, realistic-optimistic, 440ppm
clinker, at plant | Scenario: 2025, very optimistic, 440ppm
clinker, at plant | Scenario: 2025, very optimistic, Renew
clinker, at plant | Scenario: 2050, pessimistic, 440ppm
clinker, at plant | Scenario: 2050, pessimistic, BAU
clinker, at plant | Scenario: 2050, realistic-optimistic, 440ppm
clinker, at plant | Scenario: 2050, very optimistic, 440ppm
clinker, at plant | Scenario: 2050, very optimistic, Renew
clinker, at plant | Scenario: Today
construction, hard coal IGCC power plant 450MW | Scenario: Today | U
copper, primary, at refinery | Scenario: 2025, pessimistic, 440ppm
copper, primary, at refinery | Scenario: 2025, pessimistic, 440ppm
copper, primary, at refinery | Scenario: 2025, pessimistic, BAU
copper, primary, at refinery | Scenario: 2025, pessimistic, BAU
copper, primary, at refinery | Scenario: 2025, realistic-optimistic, 440ppm
copper, primary, at refinery | Scenario: 2025, realistic-optimistic, 440ppm
copper, primary, at refinery | Scenario: 2025, very optimistic, 440ppm
copper, primary, at refinery | Scenario: 2025, very optimistic, 440ppm
copper, primary, at refinery | Scenario: 2025, very optimistic, Renew
copper, primary, at refinery | Scenario: 2025, very optimistic, Renew
copper, primary, at refinery | Scenario: 2050, pessimistic, 440ppm
copper, primary, at refinery | Scenario: 2050, pessimistic, 440ppm
copper, primary, at refinery | Scenario: 2050, pessimistic, BAU
copper, primary, at refinery | Scenario: 2050, pessimistic, BAU
copper, primary, at refinery | Scenario: 2050, realistic-optimistic, 440ppm
copper, primary, at refinery | Scenario: 2050, realistic-optimistic, 440ppm
copper, primary, at refinery | Scenario: 2050, very optimistic, 440ppm
copper, primary, at refinery | Scenario: 2050, very optimistic, 440ppm
copper, primary, at refinery | Scenario: 2050, very optimistic, Renew
copper, primary, at refinery | Scenario: 2050, very optimistic, Renew
copper, primary, at refinery | Scenario: Today
copper, primary, at refinery | Scenario: Today
dismantling, hard coal IGCC power plant 450MW | Scenario: Today | U
electricity mix, aluminium industry | Scenario: 2025, pessimistic, 440ppm
electricity mix, aluminium industry | Scenario: 2025, pessimistic, BAU
electricity mix, aluminium industry | Scenario: 2025, realistic-optimistic, 440ppm
electricity mix, aluminium industry | Scenario: 2025, very optimistic, 440ppm
electricity mix, aluminium industry | Scenario: 2025, very optimistic, Renew
